Date,FIPS,MMWR_week,Recip_County,Recip_State,Series_Complete_Pop_Pct,Series_Complete_Yes,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Completeness_pct,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,SVI_CTGY,Series_Complete_Pop_Pct_SVI,Series_Complete_12PlusPop_Pct_SVI,Series_Complete_18PlusPop_Pct_SVI,Series_Complete_65PlusPop_Pct_SVI
3/23/21,6059,12,Orange County,CA,13.8,437212,437197,16,436805,17.6,247300,50.9,96.7,783096,24.7,783010,28.7,780676,31.4,344572,71,Low-Mod,Low VC/Low-Mod SVI,Low VC/Low-Mod SVI,Low VC/Low-Mod SVI,Mod-High VC/Low-Mod SVI
3/23/21,6021,12,Glenn County,CA,13.2,3744,3744,16,3742,18,2113,47.2,96.7,5746,20.2,5746,24.5,5738,27.5,2978,66.5,High,Low VC/High SVI,Low VC/High SVI,Low VC/High SVI,Low-Mod VC/High SVI
3/23/21,6007,12,Butte County,CA,15.8,34632,34632,18.2,34601,19.8,18372,45.7,96.7,54119,24.7,54114,28.5,54014,30.9,26406,65.6,High,Low VC/High SVI,Low VC/High SVI,Low VC/High SVI,Low-Mod VC/High SVI
3/23/21,6039,12,Madera County,CA,10.6,16676,16675,13,16668,14.6,9449,41.9,96.7,34390,21.9,34386,26.7,34291,30,15536,68.8,High,Low VC/High SVI,Low VC/High SVI,Low VC/High SVI,Low-Mod VC/High SVI
3/23/21,6109,12,Tuolumne County,CA,18.2,9907,9905,20.4,9904,21.9,6944,47.2,96.7,17178,31.5,17172,35.4,17157,37.9,10456,71.1,Low-Mod,Low VC/Low-Mod SVI,Low VC/Low-Mod SVI,Low VC/Low-Mod SVI,Low-Mod VC/Low-Mod SVI
3/23/21,6033,12,Lake County,CA,16.3,10525,10525,19.1,10522,20.7,6551,44.1,96.7,17137,26.6,17137,31,17102,33.7,9203,62,High,Low VC/High SVI,Low VC/High SVI,Low VC/High SVI,Low-Mod VC/High SVI
3/23/21,6067,12,Sacramento County,CA,12.6,195216,195207,14.9,195019,16.4,97506,43.4,96.7,353289,22.8,353211,26.9,352027,29.6,145282,64.6,Mod-High,Low VC/Mod-High SVI,Low VC/Mod-High SVI,Low VC/Mod-High SVI,Low-Mod VC/Mod-High SVI
3/23/21,6017,12,El Dorado County,CA,14.8,28486,28486,16.8,28451,18.4,16718,39.5,96.7,46158,23.9,46145,27.3,46014,29.7,25278,59.8,Low,Low VC/Low SVI,Low VC/Low SVI,Low VC/Low SVI,Low-Mod VC/Low SVI
3/23/21,6047,12,Merced County,CA,7.4,20494,20469,9.1,20442,10.4,11763,37.2,96.7,49524,17.8,49479,22.1,49365,25.1,20760,65.6,High,Low VC/High SVI,Low VC/High SVI,Low VC/High SVI,Low-Mod VC/High SVI
3/23/21,6011,12,Colusa County,CA,10,2150,2150,12.1,2149,13.7,1116,34.7,96.7,4401,20.4,4399,24.8,4397,28,1930,60,Mod-High,Low VC/Mod-High SVI,Low VC/Mod-High SVI,Low VC/Mod-High SVI,Low-Mod VC/Mod-High SVI
3/23/21,6085,12,Santa Clara County,CA,14.4,277212,277210,16.8,276873,18.3,151086,56.3,96.7,469047,24.3,469020,28.3,467326,30.9,201116,75,Low-Mod,Low VC/Low-Mod SVI,Low VC/Low-Mod SVI,Low VC/Low-Mod SVI,Mod-High VC/Low-Mod SVI
3/23/21,6055,12,Napa County,CA,19.2,26428,26428,22,26404,24,14131,52,96.7,46780,34,46753,38.8,46627,42.4,20363,75,Mod-High,Low VC/Mod-High SVI,Low VC/Mod-High SVI,Low VC/Mod-High SVI,Mod-High VC/Mod-High SVI
