date,area,area_type,population,cases,cumulative_cases,deaths,cumulative_deaths,total_tests,cumulative_total_tests,positive_tests,cumulative_positive_tests,reported_cases,cumulative_reported_cases,reported_deaths,cumulative_reported_deaths,reported_tests
4/22/21,Placer,County,400434,29,22445,0,293,1123,385092,46,23405,20,21916,0,282,1380
3/22/21,Yolo,County,223612,21,13259,0,205,3711,314586,23,13249,8,13243,0,190,1380
5/22/20,Alameda,County,1685886,65,3247,1,97,2239,55091,83,3152,116,2722,2,91,1380
3/8/21,Imperial,County,191649,9,27233,0,724,1125,245117,17,30156,14,27033,5,663,-1381
7/21/20,Ventura,County,852747,133,7555,2,76,3342,138110,212,8422,219,6131,3,55,1381
2/18/21,Kings,County,156444,37,21886,1,222,934,290989,46,25076,31,21648,0,211,1381
7/12/20,Sonoma,County,496668,37,2301,0,13,509,79823,13,2352,53,1743,0,13,1381
4/14/21,Marin,County,260800,8,13735,0,229,2089,482387,12,15167,8,13768,2,226,1381
12/23/20,Los Angeles,County,10257557,17200,729342,187,10585,130958,11021197,22709,894079,16027,651958,133,9146,138210
9/26/20,San Joaquin,County,782545,52,20307,2,495,917,243742,64,24555,73,19982,0,449,1383
1/10/21,Sonoma,County,496668,111,22859,2,227,955,438691,74,24479,532,21925,2,204,1383
5/31/21,Fresno,County,1032227,18,101900,1,1718,1152,1273291,10,119714,8,102507,0,1706,1384
6/28/20,San Mateo,County,778001,56,3602,1,116,980,93204,63,5300,41,3124,1,84,1384
6/28/21,Fresno,County,1032227,25,102523,0,1729,2519,1333800,29,120542,11,103121,0,1727,1384
7/4/20,Santa Barbara,County,456373,87,4606,2,38,443,59909,48,4500,114,3520,0,27,1385
11/21/20,Placer,County,400434,131,6830,0,72,997,158920,109,6932,91,5778,-1,65,1385
4/14/21,Sonoma,County,496668,7,29433,1,311,2450,650380,25,32346,28,29572,0,311,1385
12/26/20,Marin,County,260800,48,9676,0,152,1031,286158,57,10457,38,9413,0,143,1385
2/5/21,Santa Clara,County,1967585,347,105215,13,1602,16892,2678614,489,118634,331,104112,17,1421,13853
12/31/20,Monterey,County,448732,607,30055,7,255,3353,360088,633,33347,743,27720,2,188,1386
5/30/20,San Mateo,County,778001,16,2386,0,90,888,47337,32,3517,26,2129,0,71,1386
2/15/21,San Luis Obispo,County,278862,37,19135,1,239,2093,394029,45,20504,23,18891,2,227,1387
9/4/20,Tulare,County,484423,66,15021,3,258,897,128869,103,17195,93,14501,3,247,1387
5/25/21,San Joaquin,County,782545,31,72902,0,1411,3111,1016562,42,83312,42,72628,16,1387,1387
5/15/21,Santa Cruz,County,273999,5,16104,0,206,390,424492,1,16809,7,16137,-1,206,1387
12/6/20,Santa Clara,County,1967585,735,46210,6,519,5938,1629545,563,50054,773,39112,8,482,13873
7/18/21,Riverside,County,2468145,0,295468,0,4509,,3229784,,350627,771,295522,1,4543,13876
12/13/20,Santa Clara,County,1967585,953,54499,8,587,8659,1752672,832,59163,2028,47920,1,499,13876
9/4/20,Stanislaus,County,562303,52,15620,4,325,1620,138488,73,18309,89,15074,16,233,1388
9/27/20,Sonoma,County,496668,25,7759,0,112,358,186921,7,8433,51,7336,0,124,1388
2/22/21,California,State,40129160,4722,3496857,192,58180,272176,48616500,6781,4149423,3447,3450058,90,49129,138805
5/5/21,Santa Clara,County,1967585,63,117343,3,2018,15343,3920025,106,134288,51,118482,4,1992,13882
9/27/20,Kern,County,927251,51,32051,0,406,643,293367,50,35928,52,31462,1,395,1389
5/22/21,Santa Cruz,County,273999,4,16134,0,206,400,432988,6,16859,5,16125,0,207,1389
1/2/21,Merced,County,287420,183,20423,2,266,671,196727,185,20807,277,19395,1,230,1389
12/21/20,Santa Clara,County,1967585,1400,64406,24,727,25326,1911929,1722,70838,839,57699,4,570,13897
11/23/20,Plumas,County,18997,11,211,0,0,156,7709,9,190,0,172,0,0,139
11/18/20,Tuolumne,County,52351,38,871,0,9,486,39927,48,942,22,590,0,7,139
6/2/21,Kings,County,156444,4,22941,0,244,1262,375081,5,26495,4,22981,0,244,139
